mvid,llid,dt,warning,lat,lng,spd_knots,spd_ms,bearing,mag_var
55,11,2022-10-27 11:17:56 Z,A,49.501559,5.9444305,0.376,0.193430944,,
56,11,2022-10-27 11:17:57 Z,A,49.501556666666666,5.944431,0.135,0.06944994,,
57,11,2022-10-27 11:17:58 Z,A,49.501551,5.944430166666667,0.463,0.23818757200000001,,
58,11,2022-10-27 11:17:59 Z,A,49.501548,5.944430666666666,0.593,0.305065292,,
59,11,2022-10-27 11:18:00 Z,A,49.50154333333333,5.944431833333333,0.534,0.27471309600000005,,
60,12,2022-10-27 11:18:01 Z,A,49.501536333333334,5.944433833333333,0.412,0.21195092799999998,,
61,12,2022-10-27 11:18:02 Z,A,49.50153,5.9444368333333335,0.199,0.10237435600000001,,
62,12,2022-10-27 11:18:03 Z,A,49.501525,5.944439,0.354,0.182113176,,
63,12,2022-10-27 11:18:04 Z,A,49.501520666666664,5.94444,0.641,0.329758604,,
64,12,2022-10-27 11:18:05 Z,A,49.501516,5.944440833333333,0.578,0.297348632,,
65,13,2022-10-27 11:18:06 Z,A,49.501509666666664,5.944441666666666,0.413,0.21246537199999999,,
66,13,2022-10-27 11:18:07 Z,A,49.501504833333335,5.9444420000000004,0.217,0.11163434800000001,,
67,13,2022-10-27 11:18:08 Z,A,49.5015,5.9444420000000004,0.100,0.0514444,,
68,13,2022-10-27 11:18:09 Z,A,49.50149583333334,5.944443,0.320,0.16462208,,
69,13,2022-10-27 11:18:10 Z,A,49.50149283333333,5.9444436666666665,0.397,0.20423426800000002,,
70,14,2022-10-27 11:18:11 Z,A,49.501489166666666,5.944445666666667,0.345,0.17748318,,
71,14,2022-10-27 11:18:12 Z,A,49.50148466666667,5.944447,0.354,0.182113176,,
72,14,2022-10-27 11:18:13 Z,A,49.501481166666665,5.944448166666667,0.359,0.184685396,,
73,14,2022-10-27 11:18:14 Z,A,49.501477333333334,5.94445,0.353,0.18159873199999998,,
74,14,2022-10-27 11:18:15 Z,A,49.50147316666666,5.944452,0.733,0.377087452,,
75,15,2022-10-27 11:18:16 Z,A,49.50146866666667,5.944455,0.802,0.412584088,12.32,
76,15,2022-10-27 11:18:17 Z,A,49.501463333333334,5.944457666666667,0.621,0.319469724,,
77,15,2022-10-27 11:18:18 Z,A,49.50147466666667,5.9444605,0.736,0.378630784,,
78,15,2022-10-27 11:18:19 Z,A,49.50148216666667,5.944464166666666,0.322,0.165650968,,
79,15,2022-10-27 11:18:20 Z,A,49.501486666666665,5.9444688333333335,0.230,0.11832212,,
80,16,2022-10-27 11:18:21 Z,A,49.5014925,5.944471333333333,0.321,0.165136524,,
81,16,2022-10-27 11:18:22 Z,A,49.50150216666667,5.9444725,0.513,0.263909772,,
82,16,2022-10-27 11:18:23 Z,A,49.50151066666667,5.944473666666667,0.195,0.10031658,,
83,16,2022-10-27 11:18:24 Z,A,49.5015265,5.944475166666667,0.218,0.112148792,,
84,16,2022-10-27 11:18:25 Z,A,49.501538833333335,5.944476166666667,0.061,0.031381084000000004,,
85,17,2022-10-27 11:18:26 Z,A,49.50154216666667,5.944478833333333,0.221,0.113692124,,
86,17,2022-10-27 11:18:27 Z,A,49.50154933333334,5.944478833333333,0.116,0.059675504000000004,,
87,17,2022-10-27 11:18:28 Z,A,49.5015545,5.944480666666667,0.226,0.116264344,,
88,17,2022-10-27 11:18:29 Z,A,49.501561333333335,5.9444825,0.244,0.12552433600000001,,
89,17,2022-10-27 11:18:30 Z,A,49.501568166666665,5.9444851666666665,0.173,0.088998812,,
90,18,2022-10-27 11:18:31 Z,A,49.501575833333334,5.944486666666666,0.186,0.095686584,,
91,18,2022-10-27 11:18:32 Z,A,49.501582666666664,5.944487333333333,0.366,0.188286504,,
92,18,2022-10-27 11:18:33 Z,A,49.50158866666666,5.9444865,0.422,0.217095368,,
93,18,2022-10-27 11:18:34 Z,A,49.50158583333333,5.9444843333333335,0.134,0.068935496,,
94,18,2022-10-27 11:18:35 Z,A,49.501584,5.944479833333333,0.357,0.183656508,,
95,19,2022-10-27 11:18:36 Z,A,49.50156783333333,5.944479833333333,1.173,0.603442812,,
96,19,2022-10-27 11:18:37 Z,A,49.501566,5.944472333333334,1.717,0.883300348,,
97,19,2022-10-27 11:18:38 Z,A,49.50157633333333,5.944462166666667,1.309,0.673407196,,
98,19,2022-10-27 11:18:39 Z,A,49.501580833333335,5.944455,1.375,0.7073605000000001,,
99,19,2022-10-27 11:18:40 Z,A,49.501584666666666,5.9444485,1.413,0.726909372,,
100,20,2022-10-27 11:18:41 Z,A,49.50158783333333,5.944442166666667,1.937,0.9964780280000001,,
101,20,2022-10-27 11:18:42 Z,A,49.501585,5.944444,1.207,0.620933908,,
102,20,2022-10-27 11:18:43 Z,A,49.501585666666664,5.9444376666666665,1.295,0.66620498,,
103,20,2022-10-27 11:18:44 Z,A,49.501579166666666,5.944436333333333,1.022,0.5257617680000001,,
104,20,2022-10-27 11:18:45 Z,A,49.50156033333333,5.94444,0.524,0.269568656,,
105,21,2022-10-27 11:18:46 Z,A,49.501559,5.9444295,1.326,0.682152744,346.76,
106,21,2022-10-27 11:18:47 Z,A,49.5015275,5.944442166666667,0.226,0.116264344,,
107,21,2022-10-27 11:18:48 Z,A,49.50146766666667,5.944444,1.380,0.70993272,,
108,21,2022-10-27 11:18:49 Z,A,49.5014485,5.944445833333333,1.057,0.543767308,,
109,21,2022-10-27 11:18:50 Z,A,49.50140483333333,5.9444471666666665,1.540,0.7922437600000001,,
110,22,2022-10-27 11:18:51 Z,A,49.50137083333333,5.944439,1.763,0.9069647719999999,,
111,22,2022-10-27 11:18:52 Z,A,49.5013545,5.944421166666666,1.729,0.889473676,,
112,22,2022-10-27 11:18:53 Z,A,49.50135316666667,5.9443995,2.308,1.187336752,305.09,
113,22,2022-10-27 11:18:54 Z,A,49.501348666666665,5.944384666666666,2.514,1.293312216,287.13,
114,22,2022-10-27 11:18:55 Z,A,49.501341,5.944374833333333,1.814,0.9332014160000001,287.68,
115,23,2022-10-27 11:18:56 Z,A,49.501339333333334,5.944362333333333,1.863,0.958409172,290.49,
116,23,2022-10-27 11:18:57 Z,A,49.5013395,5.9443451666666665,1.666,0.857063704,,
117,23,2022-10-27 11:18:58 Z,A,49.501347,5.944317333333333,1.996,1.026830224,,
118,23,2022-10-27 11:18:59 Z,A,49.50135733333333,5.944280833333333,2.944,1.514523136,288.20,
119,23,2022-10-27 11:19:00 Z,A,49.50138483333333,5.944240333333333,3.008,1.547447552,295.66,
120,24,2022-10-27 11:19:01 Z,A,49.50141383333333,5.944185,3.138,1.614325272,296.75,
121,24,2022-10-27 11:19:02 Z,A,49.501436,5.9441515,2.229,1.146695676,301.87,
122,24,2022-10-27 11:19:03 Z,A,49.501444166666666,5.944126166666667,2.223,1.143609012,307.36,
123,24,2022-10-27 11:19:04 Z,A,49.501451333333335,5.9440985,1.667,0.857578148,301.37,
124,24,2022-10-27 11:19:05 Z,A,49.501461,5.944066,1.960,1.00831024,299.30,
125,25,2022-10-27 11:19:06 Z,A,49.50148016666667,5.9440591666666664,1.829,0.940918076,335.08,
126,25,2022-10-27 11:19:07 Z,A,49.501498833333336,5.944045,1.867,0.960466948,344.07,
127,25,2022-10-27 11:19:08 Z,A,49.50151416666667,5.944032333333333,1.912,0.983616928,349.36,
128,25,2022-10-27 11:19:09 Z,A,49.501524833333335,5.944009833333333,1.507,0.775267108,342.98,
129,25,2022-10-27 11:19:10 Z,A,49.501534666666664,5.943989333333334,1.400,0.7202216,,
130,26,2022-10-27 11:19:11 Z,A,49.501548,5.9439645,1.768,0.909536992,333.57,
131,26,2022-10-27 11:19:12 Z,A,49.50156483333333,5.943935,2.143,1.102453492,329.31,
132,26,2022-10-27 11:19:13 Z,A,49.501572333333336,5.9439075,1.902,0.978472488,321.40,
133,26,2022-10-27 11:19:14 Z,A,49.5015835,5.9438846666666665,1.992,1.024772448,313.82,
134,26,2022-10-27 11:19:15 Z,A,49.5015765,5.9438695,0.960,0.49386624,,
135,27,2022-10-27 11:19:16 Z,A,49.501572333333336,5.943868,0.761,0.391491884,,
136,27,2022-10-27 11:19:17 Z,A,49.5015745,5.943860833333334,0.160,0.08231104,,
137,27,2022-10-27 11:19:18 Z,A,49.5015725,5.943847333333333,0.265,0.13632766000000002,,
138,27,2022-10-27 11:19:19 Z,A,49.50157733333333,5.943824,1.139,0.5859517160000001,,
139,27,2022-10-27 11:19:20 Z,A,49.50158416666667,5.9438085,1.607,0.826711508,,
140,28,2022-10-27 11:19:21 Z,A,49.50159,5.943793333333334,1.824,0.9383458560000001,314.65,
141,28,2022-10-27 11:19:22 Z,A,49.5016005,5.943763,2.980,1.53304312,308.11,
