rid,time,satnum,elev,azim,SNR
1474,11:37:10 Z,20,46,298,37
1474,11:37:10 Z,26,01,021,30
1474,11:37:10 Z,29,05,329,34
1474,11:37:10 Z,30,35,189,44
1475,11:37:11 Z,02,09,327,34
1475,11:37:11 Z,04,19,071,37
1475,11:37:11 Z,05,10,303,28
1475,11:37:11 Z,06,36,210,42
1475,11:37:11 Z,07,62,146,40
1475,11:37:11 Z,09,56,067,42
1475,11:37:11 Z,11,47,258,37
1475,11:37:11 Z,16,13,045,37
1475,11:37:11 Z,20,46,298,38
1475,11:37:11 Z,26,01,021,25
1475,11:37:11 Z,29,05,329,35
1475,11:37:11 Z,30,35,189,44
1476,11:37:12 Z,02,09,327,30
1476,11:37:12 Z,04,19,071,32
1476,11:37:12 Z,05,10,303,29
1476,11:37:12 Z,06,36,210,43
1476,11:37:12 Z,07,62,146,36
1476,11:37:12 Z,09,56,067,42
1476,11:37:12 Z,11,47,258,41
1476,11:37:12 Z,16,13,045,34
1476,11:37:12 Z,20,46,298,38
1476,11:37:12 Z,29,05,329,35
1476,11:37:12 Z,30,35,189,46
1477,11:37:13 Z,04,19,071,36
1477,11:37:13 Z,05,10,303,33
1477,11:37:13 Z,06,36,210,43
1477,11:37:13 Z,07,62,146,38
1477,11:37:13 Z,09,56,067,41
1477,11:37:13 Z,11,47,258,41
1477,11:37:13 Z,16,13,045,39
1477,11:37:13 Z,20,46,298,38
1477,11:37:13 Z,29,05,329,30
1477,11:37:13 Z,30,35,189,46
1477,11:37:13 Z,26,01,021,
1478,11:37:14 Z,04,19,071,36
1478,11:37:14 Z,05,10,303,30
1478,11:37:14 Z,06,36,210,43
1478,11:37:14 Z,07,62,146,35
1478,11:37:14 Z,09,56,067,41
1478,11:37:14 Z,11,47,258,42
1478,11:37:14 Z,16,13,045,37
1478,11:37:14 Z,20,46,298,37
1478,11:37:14 Z,29,05,329,31
1478,11:37:14 Z,30,35,189,45
1478,11:37:14 Z,02,09,327,
1478,11:37:14 Z,26,01,021,
1479,11:37:15 Z,02,09,327,29
1479,11:37:15 Z,04,19,071,36
1479,11:37:15 Z,05,10,303,30
1479,11:37:15 Z,06,36,210,44
1479,11:37:15 Z,07,62,146,33
1479,11:37:15 Z,09,56,067,42
1479,11:37:15 Z,11,47,258,42
1479,11:37:15 Z,16,13,045,34
1479,11:37:15 Z,20,46,298,39
1479,11:37:15 Z,29,05,329,28
1479,11:37:15 Z,30,35,189,45
1479,11:37:15 Z,26,01,021,
1480,11:37:16 Z,04,19,071,36
1480,11:37:16 Z,05,10,303,30
1480,11:37:16 Z,06,36,210,46
1480,11:37:16 Z,07,62,146,36
1480,11:37:16 Z,09,56,067,38
