svid,llid,satsys,satnum,elev,azim,SNR
349,0,GLN,72,42,247,
350,0,GPS,01,31,142,
351,0,GPS,03,59,073,
352,0,GPS,04,69,170,
353,0,GPS,06,29,307,
354,0,GPS,09,36,210,
355,0,GPS,12,00,000,
356,0,GLN,70,28,050,
357,0,GLN,86,57,188,
358,0,GLN,73,00,000,
359,0,GLN,79,10,008,
360,0,GLN,88,03,331,
361,0,GLN,87,47,316,
362,0,GLN,71,76,001,
363,0,GLN,72,42,247,
364,0,GPS,01,31,142,
365,0,GPS,03,59,073,
366,0,GPS,04,69,170,
367,0,GPS,06,29,307,
368,0,GPS,09,36,210,
369,0,GPS,12,00,000,
370,0,GLN,70,28,050,
371,0,GLN,86,57,188,
372,0,GLN,73,00,000,
373,0,GLN,79,10,008,
374,0,GLN,88,03,331,
375,0,GLN,87,47,316,
376,0,GLN,71,76,001,
377,0,GLN,72,42,247,
378,0,GPS,01,31,142,
379,0,GPS,03,59,073,
380,0,GPS,04,69,170,
381,0,GPS,06,29,307,
382,0,GPS,09,36,210,
383,0,GPS,12,00,000,
384,0,GLN,70,28,050,
385,0,GLN,86,57,188,
386,0,GLN,73,00,000,
387,0,GLN,79,10,008,
388,0,GLN,88,03,331,
389,0,GLN,87,47,316,
390,0,GLN,71,76,001,
391,0,GLN,72,42,247,
392,0,GPS,01,31,142,
393,0,GPS,03,59,073,
394,0,GPS,04,69,170,
395,0,GPS,06,29,307,
396,0,GPS,09,36,210,
397,0,GPS,12,00,000,
398,0,GLN,70,28,050,
399,0,GLN,86,57,188,
400,0,GLN,73,00,000,
401,0,GLN,79,10,008,
402,0,GLN,88,03,331,
403,0,GLN,87,47,316,
404,0,GLN,71,76,001,
405,0,GLN,72,42,247,
406,0,GPS,01,31,142,
407,0,GPS,03,59,073,
408,0,GPS,04,69,170,
409,0,GPS,06,29,307,
410,0,GPS,09,36,210,
411,0,GPS,12,00,000,
412,0,GLN,70,28,050,
413,0,GLN,86,57,188,
414,0,GLN,73,00,000,
415,0,GLN,79,10,008,
416,0,GLN,88,03,331,
417,0,GLN,87,47,316,
418,0,GLN,71,76,001,
419,0,GLN,72,42,247,
420,0,GPS,01,31,142,
421,0,GPS,03,59,073,
422,0,GPS,04,69,170,
423,0,GPS,06,29,307,
424,0,GPS,09,36,210,
425,0,GPS,12,00,000,
426,0,GLN,70,28,050,
427,0,GLN,86,57,188,
428,0,GLN,73,00,000,
429,0,GLN,79,10,008,
430,0,GLN,88,03,331,
431,0,GLN,87,47,316,
432,0,GLN,71,76,001,
433,0,GLN,72,42,247,
434,0,GPS,01,31,142,
435,0,GPS,03,59,073,
436,0,GPS,04,69,170,
437,0,GPS,06,29,307,
438,0,GPS,09,36,210,
439,0,GPS,12,00,000,
440,0,GLN,70,28,050,
441,0,GLN,86,57,188,
442,0,GLN,73,00,000,
443,0,GLN,79,10,008,
444,0,GLN,88,03,331,
445,0,GLN,87,47,316,
446,0,GLN,71,76,001,
447,0,GLN,72,42,247,
448,0,GPS,01,31,142,
449,0,GPS,03,59,073,
450,0,GPS,04,69,170,
451,0,GPS,06,29,307,
452,0,GPS,09,36,210,
453,0,GPS,12,00,000,
454,0,GLN,70,28,050,
455,0,GLN,86,57,188,
456,0,GLN,73,00,000,
457,0,GLN,79,10,008,
458,0,GLN,88,03,331,
459,0,GLN,87,47,316,
460,0,GLN,71,76,001,
461,0,GLN,72,42,247,
462,0,GPS,01,31,142,
463,0,GPS,03,59,073,
464,0,GPS,04,69,170,
465,0,GPS,06,29,307,
466,0,GPS,09,36,210,
467,0,GPS,12,00,000,
468,0,GLN,70,28,050,
469,0,GLN,86,57,188,
470,0,GLN,73,00,000,
471,0,GLN,79,10,008,
472,0,GLN,88,03,331,
473,0,GLN,87,47,316,
474,0,GLN,71,76,001,
475,0,GLN,72,42,247,
476,0,GPS,01,31,142,
477,0,GPS,03,59,073,
478,0,GPS,04,69,170,
479,0,GPS,06,29,307,
480,0,GPS,09,36,210,
481,0,GPS,12,00,000,
482,0,GLN,70,28,050,
483,0,GLN,86,57,188,
484,0,GLN,73,00,000,
485,0,GLN,79,10,008,
486,0,GLN,88,03,331,
487,0,GLN,87,47,316,
488,0,GLN,71,76,001,
489,0,GLN,72,42,247,
490,0,GPS,01,31,142,
491,0,GPS,03,59,073,
492,0,GPS,04,69,170,
493,0,GPS,06,29,307,
494,0,GPS,09,36,210,
495,0,GPS,12,00,000,
496,0,GLN,70,28,050,
497,0,GLN,86,57,188,
498,0,GLN,73,00,000,
499,0,GLN,79,10,008,
500,0,GLN,88,03,331,
501,0,GLN,87,47,316,
502,0,GLN,71,76,001,
503,0,GLN,72,42,247,
504,0,GPS,01,31,142,
505,0,GPS,03,59,073,
506,0,GPS,04,69,170,
507,0,GPS,06,29,307,
508,0,GPS,09,36,210,
509,0,GPS,12,00,000,
510,0,GLN,70,28,050,
511,0,GLN,86,57,188,
512,0,GLN,73,00,000,
513,0,GLN,79,10,008,
514,0,GLN,88,03,331,
515,0,GLN,87,47,316,
516,0,GLN,71,76,001,
517,0,GLN,72,42,247,
518,0,GPS,01,31,142,
519,0,GPS,03,59,073,
520,0,GPS,04,69,170,
521,0,GPS,06,29,307,
522,0,GPS,09,36,210,
523,0,GPS,12,00,000,
524,0,GLN,70,28,050,
525,0,GLN,86,57,188,
526,0,GLN,73,00,000,
527,0,GLN,79,10,008,
528,0,GLN,88,03,331,
529,0,GLN,87,47,316,
530,0,GLN,71,76,001,
531,0,GLN,72,42,247,
532,0,GPS,01,31,142,
533,0,GPS,03,59,073,
534,0,GPS,04,69,170,
535,0,GPS,06,29,307,
536,0,GPS,09,36,210,
537,0,GPS,12,00,000,
538,0,GLN,70,28,050,
539,0,GLN,86,57,188,
540,0,GLN,73,00,000,
541,0,GLN,79,10,008,
542,0,GLN,88,03,331,
543,0,GLN,87,47,316,
544,0,GLN,71,76,001,
545,0,GLN,72,42,247,
546,0,GPS,01,31,142,
547,0,GPS,03,59,073,
548,0,GPS,04,69,170,
549,0,GPS,06,29,307,
550,0,GPS,09,36,210,
551,0,GPS,12,00,000,
552,0,GLN,70,28,050,
553,0,GLN,86,57,188,
554,0,GLN,73,00,000,
555,0,GLN,79,10,008,
556,0,GLN,88,03,331,
557,0,GLN,87,47,316,
558,0,GLN,71,76,001,
559,0,GLN,72,42,247,
560,0,GPS,01,31,142,
561,0,GPS,03,59,073,
562,0,GPS,04,69,170,
563,0,GPS,06,29,307,
564,0,GPS,09,36,210,
565,0,GPS,12,00,000,
566,0,GLN,70,28,050,
567,0,GLN,86,57,188,
568,0,GLN,73,00,000,
569,0,GLN,79,10,008,
570,0,GLN,88,03,331,
571,0,GLN,87,47,316,
572,0,GLN,71,76,001,
573,0,GLN,72,42,247,
574,0,GPS,01,31,142,
575,0,GPS,03,59,073,
576,0,GPS,04,69,170,
577,0,GPS,06,29,307,
578,0,GPS,09,36,210,
579,0,GPS,12,00,000,
580,0,GLN,70,28,050,
581,0,GLN,86,57,188,
582,0,GLN,73,00,000,
583,0,GLN,79,10,008,
584,0,GLN,88,03,331,
585,0,GLN,87,47,316,
586,0,GLN,71,76,001,
587,0,GLN,72,42,247,
588,0,GPS,01,31,142,
589,0,GPS,03,59,073,
590,0,GPS,04,69,170,
591,0,GPS,06,29,307,
592,0,GPS,09,36,210,
593,0,GPS,12,00,000,
594,0,GLN,70,28,050,
595,0,GLN,86,57,188,
596,0,GLN,73,00,000,
597,0,GLN,79,10,008,
598,0,GLN,88,03,331,
599,0,GLN,87,47,316,
600,0,GLN,71,76,001,
601,0,GLN,72,42,247,
602,0,GPS,01,31,142,
603,0,GPS,03,59,073,
604,0,GPS,04,69,170,
605,0,GPS,06,29,307,
606,0,GPS,09,36,210,
607,0,GPS,12,00,000,
608,0,GLN,70,28,050,
609,0,GLN,86,57,188,
610,0,GLN,73,00,000,
611,0,GLN,79,10,008,
612,0,GLN,88,03,331,
613,0,GLN,87,47,316,
614,0,GLN,71,76,001,
615,0,GLN,72,42,247,
616,0,GPS,01,31,142,
617,0,GPS,03,59,073,
618,0,GPS,04,69,170,
619,0,GPS,06,29,307,
620,0,GPS,09,36,210,
621,0,GPS,12,00,000,
622,0,GLN,70,28,050,
623,0,GLN,86,57,188,
624,0,GLN,73,00,000,
625,0,GLN,79,10,008,
626,0,GLN,88,03,331,
627,0,GLN,87,47,316,
628,0,GLN,71,76,001,
629,0,GLN,72,42,247,
630,0,GPS,01,31,142,
631,0,GPS,03,59,073,
632,0,GPS,04,69,170,
633,0,GPS,06,29,307,
634,0,GPS,09,36,210,
635,0,GPS,12,00,000,
636,0,GLN,70,28,050,
637,0,GLN,86,57,188,
638,0,GLN,73,00,000,
639,0,GLN,79,10,008,
640,0,GLN,88,03,331,
641,0,GLN,87,47,316,
642,0,GLN,71,76,001,
643,0,GLN,72,42,247,
644,0,GPS,01,31,142,
645,0,GPS,03,59,073,
646,0,GPS,04,69,170,
647,0,GPS,06,29,307,
648,0,GPS,09,36,210,
649,0,GPS,12,00,000,
650,0,GLN,70,28,050,
651,0,GLN,86,57,188,
652,0,GLN,73,00,000,
653,0,GLN,79,10,008,
654,0,GLN,88,03,331,
655,0,GLN,87,47,316,
656,0,GLN,71,76,001,
657,0,GLN,72,42,247,
658,0,GPS,01,31,142,
659,0,GPS,03,59,073,
660,0,GPS,04,69,170,
661,0,GPS,06,29,307,
662,0,GPS,09,36,210,
663,0,GPS,12,00,000,
664,0,GLN,70,28,050,
665,0,GLN,86,57,188,
666,0,GLN,73,00,000,
667,0,GLN,79,10,008,
668,0,GLN,88,03,331,
669,0,GLN,87,47,316,
670,0,GLN,71,76,001,
671,0,GLN,72,42,247,
672,0,GPS,01,31,142,
673,0,GPS,03,59,073,
674,0,GPS,04,69,170,
675,0,GPS,06,29,307,
676,0,GPS,09,36,210,
677,0,GPS,12,00,000,
678,0,GLN,70,28,050,
679,0,GLN,86,57,188,
680,0,GLN,73,00,000,
681,0,GLN,79,10,008,
682,0,GLN,88,03,331,
683,0,GLN,87,47,316,
684,0,GLN,71,76,001,
685,0,GLN,72,42,247,
686,0,GPS,01,31,142,
687,0,GPS,03,59,073,
688,0,GPS,04,69,170,
689,0,GPS,06,29,307,
690,0,GPS,09,36,210,
691,0,GPS,12,00,000,
692,0,GLN,70,28,050,
693,0,GLN,86,57,188,
694,0,GLN,73,00,000,
695,0,GLN,79,10,008,
696,0,GLN,88,03,331,
697,0,GLN,87,47,316,
698,0,GLN,71,76,001,
699,0,GLN,72,42,247,
700,0,GPS,01,31,142,
701,0,GPS,03,59,073,
702,0,GPS,04,69,170,
703,0,GPS,06,29,307,
704,0,GPS,09,36,210,
705,0,GPS,12,00,000,
706,0,GLN,70,26,050,
707,0,GLN,86,56,188,
708,0,GLN,73,01,106,
709,0,GLN,79,10,008,
710,0,GLN,88,04,331,
711,0,GLN,87,48,314,
712,0,GLN,71,75,004,
713,0,GLN,72,43,247,
714,0,GPS,01,31,142,
715,0,GPS,03,59,073,
716,0,GPS,04,69,170,
717,0,GPS,06,29,307,
718,0,GPS,09,36,210,
719,0,GPS,12,00,000,
720,0,GLN,70,26,050,
721,0,GLN,86,56,188,
722,0,GLN,73,01,106,
723,0,GLN,79,10,008,
724,0,GLN,88,04,331,
725,0,GLN,87,48,314,
726,0,GLN,71,75,004,
727,0,GLN,72,43,247,
728,0,GPS,01,31,142,
729,0,GPS,03,59,073,
730,0,GPS,04,69,170,
731,0,GPS,06,29,307,
732,0,GPS,09,36,210,
733,0,GPS,12,00,000,
734,0,GLN,70,26,050,
735,0,GLN,86,56,188,
736,0,GLN,73,01,106,
737,0,GLN,79,10,008,
738,0,GLN,88,04,331,
739,0,GLN,87,48,314,
740,0,GLN,71,75,004,
741,0,GLN,72,43,247,
742,0,GPS,01,30,142,
743,0,GPS,03,58,074,
744,0,GPS,04,70,168,
745,0,GPS,06,30,307,
746,0,GPS,09,37,210,
747,0,GPS,12,00,000,
748,0,GLN,70,26,050,
749,0,GLN,86,56,188,
750,0,GLN,73,01,106,
751,0,GLN,79,10,008,
752,0,GLN,88,04,331,
753,0,GLN,87,48,314,
754,0,GLN,71,75,004,
755,0,GLN,72,43,247,
756,0,GPS,01,30,142,
757,0,GPS,03,58,074,
758,0,GPS,04,70,168,
759,0,GPS,06,30,307,
760,0,GPS,09,37,210,
761,0,GPS,12,00,000,
762,0,GLN,70,26,050,
763,0,GLN,86,56,188,
764,0,GLN,73,01,106,
765,0,GLN,79,10,008,
766,0,GLN,88,04,331,
767,0,GLN,87,48,314,
768,0,GLN,71,75,004,
769,0,GLN,72,43,247,
770,0,GPS,01,30,142,
771,0,GPS,03,58,074,
772,0,GPS,04,70,168,
773,0,GPS,06,30,307,
774,0,GPS,09,37,210,
775,0,GPS,12,00,000,
776,0,GLN,70,26,050,
777,0,GLN,86,56,188,
778,0,GLN,73,01,106,
779,0,GLN,79,10,008,
780,0,GLN,88,04,331,
781,0,GLN,87,48,314,
782,0,GLN,71,75,004,
783,0,GLN,72,43,247,
784,0,GPS,01,30,142,
785,0,GPS,03,58,074,
786,0,GPS,04,70,168,
787,0,GPS,06,30,307,
788,0,GPS,09,37,210,
789,0,GPS,12,00,000,
790,0,GLN,70,26,050,
791,0,GLN,86,56,188,
792,0,GLN,73,01,106,
793,0,GLN,79,10,008,
794,0,GLN,88,04,331,
795,0,GLN,87,48,314,
796,0,GLN,71,75,004,
797,0,GLN,72,43,247,
798,0,GPS,01,30,142,
799,0,GPS,03,58,074,
800,0,GPS,04,70,168,
801,0,GPS,06,30,307,
802,0,GPS,09,37,210,
803,0,GPS,12,00,000,
804,0,GLN,70,26,050,
805,0,GLN,86,56,188,
806,0,GLN,73,01,106,
807,0,GLN,79,10,008,
808,0,GLN,88,04,331,
809,0,GLN,87,48,314,
810,0,GLN,71,75,004,
811,0,GLN,72,43,247,
812,0,GPS,01,30,142,
813,0,GPS,03,58,074,
814,0,GPS,04,70,168,
815,0,GPS,06,30,307,
816,0,GPS,09,37,210,
817,0,GPS,12,00,000,
818,0,GLN,70,26,050,
819,0,GLN,86,56,188,
820,0,GLN,73,01,106,
821,0,GLN,79,10,008,
822,0,GLN,88,04,331,
823,0,GLN,87,48,314,
824,0,GLN,71,75,004,
825,0,GLN,72,43,247,
826,0,GPS,01,30,142,
827,0,GPS,03,58,074,
828,0,GPS,04,70,168,
829,0,GPS,06,30,307,
830,0,GPS,09,37,210,
831,0,GPS,12,00,000,
832,0,GLN,70,26,050,
833,0,GLN,86,56,188,
834,0,GLN,73,01,106,
835,0,GLN,79,10,008,
836,0,GLN,88,04,331,
837,0,GLN,87,48,314,
838,0,GLN,71,75,004,
839,0,GLN,72,43,247,
840,0,GPS,01,30,142,
841,0,GPS,03,58,074,
842,0,GPS,04,70,168,
843,0,GPS,06,30,307,
844,0,GPS,09,37,210,
845,0,GLN,70,26,050,
846,0,GLN,86,56,188,
847,0,GLN,73,01,106,
848,0,GLN,79,10,008,
849,0,GLN,88,04,331,
850,0,GLN,87,48,314,
851,0,GLN,71,75,004,
852,0,GLN,72,43,247,
853,0,GPS,01,30,142,
854,0,GPS,03,58,074,
855,0,GPS,04,70,168,
856,0,GPS,06,30,307,
857,0,GPS,09,37,210,
858,0,GPS,12,00,000,
859,0,GLN,70,26,050,
860,0,GLN,86,56,188,
861,0,GLN,73,01,106,
862,0,GLN,79,10,008,
863,0,GLN,88,04,331,
864,0,GLN,87,48,314,
865,0,GLN,71,75,004,
866,0,GLN,72,43,247,
867,0,GPS,01,30,142,
868,0,GPS,03,58,074,
869,0,GPS,04,70,168,
870,0,GPS,06,30,307,
871,0,GPS,09,37,210,
872,0,GPS,12,00,000,
873,0,GLN,70,26,050,
874,0,GLN,86,56,188,
875,0,GLN,73,01,106,
876,0,GLN,79,10,008,
877,0,GLN,88,04,331,
878,0,GLN,87,48,314,
879,0,GLN,71,75,004,
880,0,GLN,72,43,247,
881,0,GPS,01,30,142,
882,0,GPS,03,58,074,
883,0,GPS,04,70,168,
884,0,GPS,06,30,307,
885,0,GPS,09,37,210,
886,0,GPS,12,00,000,
887,0,GLN,70,26,050,
888,0,GLN,86,56,188,
889,0,GLN,73,01,106,
890,0,GLN,79,10,008,
891,0,GLN,88,04,331,
892,0,GLN,87,48,314,
893,0,GLN,71,75,004,
894,0,GLN,72,43,247,
895,0,GPS,01,30,142,
896,0,GPS,03,58,074,
897,0,GPS,04,70,168,
898,0,GPS,06,30,307,
899,0,GPS,09,37,210,
900,0,GPS,12,00,000,
901,0,GLN,70,26,050,
902,0,GLN,86,56,188,
903,0,GLN,73,01,106,
904,0,GLN,79,10,008,
905,0,GLN,88,04,331,
906,0,GLN,87,48,314,
907,0,GLN,71,75,004,
908,0,GLN,72,43,247,
909,0,GPS,01,30,142,
910,0,GPS,03,58,074,
911,0,GPS,04,70,168,
912,0,GPS,06,30,307,
913,0,GPS,09,37,210,
914,0,GPS,12,00,000,
915,0,GLN,70,26,050,
916,0,GLN,86,56,188,
917,0,GLN,73,01,106,
918,0,GLN,79,10,008,
919,0,GLN,88,04,331,
920,0,GLN,87,48,314,
921,0,GLN,71,75,004,
922,0,GLN,72,43,247,
923,0,GPS,01,30,142,
924,0,GPS,03,58,074,
925,0,GPS,04,70,168,
