rid,time,lat,lng
0,132:94:9 Z,52.479644666666665,13.422474
1,132:95:4 Z,52.47961566666667,13.42248
2,132:95:9 Z,52.4796075,13.422484666666668
3,133:00:4 Z,52.47960883333333,13.4224875
4,133:00:9 Z,52.479595333333336,13.4224905
5,133:01:4 Z,52.479568666666665,13.422493833333334
6,133:01:9 Z,52.479556333333335,13.4224925
7,133:02:4 Z,52.47954466666667,13.422488333333334
8,133:02:9 Z,52.47955816666666,13.422482833333333
9,133:03:4 Z,52.479595,13.422486666666666
10,133:03:9 Z,52.47958533333333,13.422492
11,133:04:4 Z,52.4795785,13.422486
12,133:04:9 Z,52.479578,13.422481666666666
13,133:05:4 Z,52.47956716666667,13.422480833333333
14,133:05:9 Z,52.47957783333333,13.422480333333333
15,133:10:4 Z,52.479582,13.422478333333334
16,133:10:9 Z,52.479584833333334,13.422474666666666
17,133:11:4 Z,52.4796075,13.422471333333334
18,133:11:9 Z,52.47961566666667,13.422479
19,133:12:4 Z,52.47963133333333,13.422479833333334
20,133:12:4 Z,52.47963133333333,13.422479833333334
21,133:12:9 Z,52.47963333333333,13.422485
22,133:13:4 Z,52.47963266666667,13.422489166666667
23,133:13:9 Z,52.479621,13.422487666666667
24,133:14:4 Z,52.47961683333333,13.422483166666666
25,133:14:9 Z,52.479633666666665,13.422489
26,133:15:4 Z,52.479646333333335,13.422485666666667
27,133:15:9 Z,52.479646,13.422483833333333
28,133:20:4 Z,52.4796175,13.422489
29,133:20:9 Z,52.4795785,13.422501833333333
30,133:21:4 Z,52.479582,13.422504666666667
31,133:21:9 Z,52.47958,13.422505166666667
32,133:22:4 Z,52.479561,13.422504
33,133:22:9 Z,52.479567,13.4224985
34,133:23:4 Z,52.47958633333333,13.422493833333334
35,133:23:9 Z,52.4796305,13.422483
36,133:24:4 Z,52.47960533333333,13.422480833333333
37,133:24:9 Z,52.47962233333333,13.422479166666667
38,133:25:4 Z,52.47961166666666,13.422482333333333
39,133:25:9 Z,52.479621,13.422480166666666
40,133:30:4 Z,52.47960483333333,13.422477333333333
41,133:30:9 Z,52.47958233333333,13.4224815
42,133:31:4 Z,52.479555166666664,13.4224995
43,133:31:9 Z,52.479553833333334,13.422505333333334
44,133:32:4 Z,52.47955683333333,13.422504333333332
45,133:32:9 Z,52.479523,13.422508833333334
46,133:33:4 Z,52.47950516666667,13.422509833333333
47,133:33:9 Z,52.479497333333335,13.4225035
48,133:34:4 Z,52.479475666666666,13.422488
49,133:34:9 Z,52.47950633333333,13.422465833333334
50,133:35:4 Z,52.47953366666667,13.422454666666667
51,133:35:9 Z,52.47955183333333,13.422447666666667
52,133:40:4 Z,52.47958783333333,13.422454333333333
53,133:40:9 Z,52.479593,13.422466833333333
54,133:41:4 Z,52.47959433333333,13.422476166666666
