rid,time,lat,lng
0,13:29:49 Z,52.479644666666665,13.422474
1,13:29:54 Z,52.47961566666667,13.42248
2,13:29:59 Z,52.4796075,13.422484666666668
3,13:30:04 Z,52.47960883333333,13.4224875
4,13:30:09 Z,52.479595333333336,13.4224905
5,13:30:14 Z,52.479568666666665,13.422493833333334
6,13:30:19 Z,52.479556333333335,13.4224925
7,13:30:24 Z,52.47954466666667,13.422488333333334
8,13:30:29 Z,52.47955816666666,13.422482833333333
9,13:30:34 Z,52.479595,13.422486666666666
10,13:30:39 Z,52.47958533333333,13.422492
11,13:30:44 Z,52.4795785,13.422486
12,13:30:49 Z,52.479578,13.422481666666666
13,13:30:54 Z,52.47956716666667,13.422480833333333
14,13:30:59 Z,52.47957783333333,13.422480333333333
15,13:31:04 Z,52.479582,13.422478333333334
16,13:31:09 Z,52.479584833333334,13.422474666666666
17,13:31:14 Z,52.4796075,13.422471333333334
18,13:31:19 Z,52.47961566666667,13.422479
19,13:31:24 Z,52.47963133333333,13.422479833333334
20,13:31:24 Z,52.47963133333333,13.422479833333334
21,13:31:29 Z,52.47963333333333,13.422485
22,13:31:34 Z,52.47963266666667,13.422489166666667
23,13:31:39 Z,52.479621,13.422487666666667
24,13:31:44 Z,52.47961683333333,13.422483166666666
25,13:31:49 Z,52.479633666666665,13.422489
26,13:31:54 Z,52.479646333333335,13.422485666666667
27,13:31:59 Z,52.479646,13.422483833333333
28,13:32:04 Z,52.4796175,13.422489
29,13:32:09 Z,52.4795785,13.422501833333333
30,13:32:14 Z,52.479582,13.422504666666667
31,13:32:19 Z,52.47958,13.422505166666667
32,13:32:24 Z,52.479561,13.422504
33,13:32:29 Z,52.479567,13.4224985
34,13:32:34 Z,52.47958633333333,13.422493833333334
35,13:32:39 Z,52.4796305,13.422483
36,13:32:44 Z,52.47960533333333,13.422480833333333
37,13:32:49 Z,52.47962233333333,13.422479166666667
38,13:32:54 Z,52.47961166666666,13.422482333333333
39,13:32:59 Z,52.479621,13.422480166666666
40,13:33:04 Z,52.47960483333333,13.422477333333333
41,13:33:09 Z,52.47958233333333,13.4224815
42,13:33:14 Z,52.479555166666664,13.4224995
43,13:33:19 Z,52.479553833333334,13.422505333333334
44,13:33:24 Z,52.47955683333333,13.422504333333332
45,13:33:29 Z,52.479523,13.422508833333334
46,13:33:34 Z,52.47950516666667,13.422509833333333
47,13:33:39 Z,52.479497333333335,13.4225035
48,13:33:44 Z,52.479475666666666,13.422488
49,13:33:49 Z,52.47950633333333,13.422465833333334
50,13:33:54 Z,52.47953366666667,13.422454666666667
51,13:33:59 Z,52.47955183333333,13.422447666666667
52,13:34:04 Z,52.47958783333333,13.422454333333333
53,13:34:09 Z,52.479593,13.422466833333333
54,13:34:14 Z,52.47959433333333,13.422476166666666
55,13:34:19 Z,52.479614,13.422458666666667
56,13:34:24 Z,52.47965533333333,13.4224465
57,13:34:29 Z,52.479708333333335,13.422444166666667
58,13:34:34 Z,52.479701666666664,13.422440166666666
59,13:34:39 Z,52.479683,13.422448166666667
60,13:34:44 Z,52.479667666666664,13.422452166666666
61,13:34:49 Z,52.479652333333334,13.422456833333333
62,13:34:54 Z,52.479623833333335,13.422464833333333
63,13:34:59 Z,52.479617166666664,13.4224645
64,13:35:04 Z,52.47961183333334,13.422465166666667
65,13:35:09 Z,52.4796,13.4224685
66,13:35:14 Z,52.479602166666666,13.422470833333334
67,13:35:19 Z,52.479602,13.42248
68,13:35:24 Z,52.479604333333334,13.422476
69,13:35:29 Z,52.479600833333336,13.422477
70,13:35:34 Z,52.47957533333334,13.422483
71,13:35:39 Z,52.47956966666667,13.4224875
72,13:35:44 Z,52.47956166666667,13.422510833333334
73,13:35:49 Z,52.4795845,13.422502666666666
74,13:35:54 Z,52.47956816666667,13.422499166666666
75,13:35:59 Z,52.47961733333333,13.422477166666667
76,13:36:04 Z,52.479653166666665,13.422414166666666
77,13:36:09 Z,52.479664166666666,13.422337166666667
78,13:36:14 Z,52.47967216666667,13.422220666666666
79,13:36:19 Z,52.47970983333333,13.422103333333334
80,13:36:24 Z,52.479739,13.422011166666667
81,13:36:29 Z,52.479743666666664,13.421910166666667
82,13:36:34 Z,52.47971183333333,13.4218375
83,13:36:39 Z,52.47973666666667,13.4217355
84,13:36:44 Z,52.4797195,13.421722
85,13:36:49 Z,52.47952516666667,13.421778166666666
86,13:36:54 Z,52.4793485,13.421792
87,13:36:59 Z,52.47915033333334,13.421832166666666
88,13:37:04 Z,52.47894616666667,13.421783833333333
89,13:37:09 Z,52.478864333333334,13.421725833333333
90,13:37:14 Z,52.478764,13.4217305
91,13:37:19 Z,52.4786035,13.421701166666667
92,13:37:24 Z,52.478469833333335,13.421714333333334
93,13:37:29 Z,52.47827983333333,13.421799166666666
94,13:37:34 Z,52.478135,13.421832833333333
95,13:37:39 Z,52.4780445,13.421865166666667
96,13:37:44 Z,52.47792,13.421916333333334
97,13:37:49 Z,52.47782933333333,13.4219845
98,13:37:54 Z,52.477750666666665,13.422032833333333
99,13:37:59 Z,52.47771783333334,13.422103166666666
100,13:38:04 Z,52.477672,13.422105666666667
101,13:38:09 Z,52.477599833333336,13.422048833333333
102,13:38:14 Z,52.4775195,13.422058166666666
103,13:38:19 Z,52.477440333333334,13.421947333333334
104,13:38:24 Z,52.4773625,13.421839
105,13:38:29 Z,52.477293833333334,13.421719833333333
106,13:38:34 Z,52.477210166666666,13.421568
107,13:38:39 Z,52.47715683333333,13.421392166666667
108,13:38:44 Z,52.4771015,13.421261666666666
109,13:38:49 Z,52.4770345,13.421186
